FILE,LABEL,VALUE
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_d7f1ad03-6ed4-706a-15fc-eae794dee33a
calculation,to,loc_us-gaap_StockholdersEquity_4b9904d8-8624-0dbb-a949-29ff2cf808a8
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CommonStockValue
calculation,label,loc_us-gaap_CommonStockValue_f05ab245-2bd1-7865-e7ed-1461a5a6155f
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_4b9904d8-8624-0dbb-a949-29ff2cf808a8
calculation,to,loc_us-gaap_CommonStockValue_f05ab245-2bd1-7865-e7ed-1461a5a6155f
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AdditionalPaidInCapital
calculation,label,loc_us-gaap_AdditionalPaidInCapital_3d5a0ca6-0f59-67e6-adb5-6aecd22b693b
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_4b9904d8-8624-0dbb-a949-29ff2cf808a8
calculation,to,loc_us-gaap_AdditionalPaidInCapital_3d5a0ca6-0f59-67e6-adb5-6aecd22b693b
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax
calculation,label,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_988c1346-b444-a867-fe80-f3aec1443d54
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_4b9904d8-8624-0dbb-a949-29ff2cf808a8
calculation,to,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_988c1346-b444-a867-fe80-f3aec1443d54
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_RetainedEarningsAccumulatedDeficit
calculation,label,loc_us-gaap_RetainedEarningsAccumulatedDeficit_62305d8f-d807-0fe8-d0ab-f2c2b3d03011
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_4b9904d8-8624-0dbb-a949-29ff2cf808a8
calculation,to,loc_us-gaap_RetainedEarningsAccumulatedDeficit_62305d8f-d807-0fe8-d0ab-f2c2b3d03011
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CommitmentsAndContingencies
calculation,label,loc_us-gaap_CommitmentsAndContingencies_4d934b0d-59bc-ae5c-ffb9-b6ced82ff9f8
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_d7f1ad03-6ed4-706a-15fc-eae794dee33a
calculation,to,loc_us-gaap_CommitmentsAndContingencies_4d934b0d-59bc-ae5c-ffb9-b6ced82ff9f8
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
calculation,label,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_21c019f0-62e8-3b20-07d1-495695054dce
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_1de780cc-9607-daa3-0bed-03c88ae94769
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_21c019f0-62e8-3b20-07d1-495695054dce
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_1de780cc-9607-daa3-0bed-03c88ae94769
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_RestrictedCashAndCashEquivalents
calculation,label,loc_us-gaap_RestrictedCashAndCashEquivalents_ae11e3b1-839b-d0b0-a04b-b35611528b8c
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_21c019f0-62e8-3b20-07d1-495695054dce
calculation,to,loc_us-gaap_RestrictedCashAndCashEquivalents_ae11e3b1-839b-d0b0-a04b-b35611528b8c
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
calculation,label,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_50231013-f048-89e7-0e20-ba139224c5f7
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_NetCashProvidedByUsedInOperatingActivities
calculation,label,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_50231013-f048-89e7-0e20-ba139224c5f7
calculation,to,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
calculation,type,arc
calculation,item_type,calculation_loc
